region,country,lakeno,year,mesh,lakearea,waterdepth,tn,tp,elev,lat,long,source,S_PIE,S,N,S_n
Temperate,Denmark,DK_21276,2004,212,0.2,4.73,1.38,0.1,15,56.017,9.4315,erik,1.73908042,5,7560,4.979426395
Temperate,Denmark,DK_21277,2005,212,0.12,3.2,2.01,0.06,15,55.9689,9.7056,erik,1.783284559,14,14170,13.08441432
Temperate,Denmark,DK_21278,2004,212,0.93,1.19,1.62,0.15,15,56.2555,9.4879,erik,3.847601427,6,1845,5.999991403
Temperate,Denmark,DK_21278,2005,212,0.93,1.19,1.5,0.1,15,56.2555,9.4879,erik,3.512790574,7,2631,6.999158341
Temperate,Denmark,DK_21280,2005,212,1.15,4.34,1,0.11,15,56.1442,9.5818,erik,6.28704055,17,5772,16.96184959
Temperate,Denmark,DK_21281,2004,212,0.69,4.2,0.34,0.03,15,56.2994,9.7941,erik,2.607627105,13,9244,12.81417246
Temperate,Denmark,DK_21306,2005,212,0.06,4.7,0.31,0.02,15,56.0251,9.4431,erik,6.499483087,28,11249,27.17594815
Temperate,Denmark,DK_21324,2004,212,0.37,4.61,1.84,0.1,15,56.1081,9.5268,erik,3.839091002,12,24768,11.29999137
Temperate,Denmark,DK_21324,2005,212,0.37,4.61,2.32,0.07,15,56.1081,9.5268,erik,2.640429275,13,20490,11.29490338
Temperate,Denmark,DK_21324,2006,212,0.37,4.61,2.89,0.08,15,56.1081,9.5268,erik,3.043135406,8,20096,7.185559108
Temperate,Denmark,DK_21326,2006,212,7.52,7.82,1.14,0.16,15,56.0242,9.9386,erik,2.270955448,12,8892,11.91465379
Temperate,Denmark,DK_25020,2004,212,0.73,4.26,0.42,0.03,15,56.0196,9.3921,erik,7.926722624,15,10717,14.86604154
Temperate,Denmark,DK_25039,2004,212,0.83,4.33,0.64,0.08,15,55.9341,9.3627,erik,2.975136319,14,23516,12.69374248
Temperate,Denmark,DK_25044,2005,212,0.74,2.75,0.37,0.02,15,56.0493,9.0677,erik,6.342326807,15,3100,14.98931833
Temperate,Denmark,DK_25044,2006,212,0.74,2.75,0.29,0.01,15,56.0493,9.0677,erik,8.055845064,24,12796,22.17034291
Temperate,Denmark,DK_26012,2006,212,3.82,8.1,1.27,0.22,15,56.0551,10.0589,erik,1.924785373,7,15486,6.674406387
Temperate,Denmark,DK_27007,2005,212,0.32,7.7,0.61,0.04,15,55.9623,9.8759,erik,1.374438836,6,28929,5.487014401
Temperate,Denmark,DK_30005,2004,212,0.12,0.8,0.89,0.02,15,57.0423,9.4053,erik,8.543795195,23,5377,22.72576141
Temperate,Denmark,DK_30005,2005,212,0.12,0.8,0.47,0.01,15,57.0423,9.4053,erik,5.168893363,22,4159,21.9107994
Temperate,Denmark,DK_31005,2004,212,0.3,1.2,1.19,0.11,15,55.7247,8.7691,erik,5.933847892,17,3219,16.9821584
Temperate,Denmark,DK_31005,2005,212,0.3,1.2,1.06,0.09,15,55.7247,8.7691,erik,7.533523288,25,6044,24.58163648
Temperate,Denmark,DK_32004,2004,212,0.43,2.6,0.83,0.08,15,55.7184,9.3173,erik,4.063419232,13,25358,11.46728266
Temperate,Denmark,DK_32004,2005,212,0.43,2.6,0.66,0.05,15,55.7184,9.3173,erik,1.554778068,12,74961,9.138539313
Temperate,Denmark,DK_32005,2006,212,0.96,5.6,0.64,0.05,15,55.7315,9.393,erik,4.56733932,18,7657,17.81375496
Temperate,Denmark,DK_36005,2004,212,0.27,1.55,2.11,0.22,15,55.4294,9.3235,erik,1.63502211,13,14645,11.09359211
Temperate,Denmark,DK_36005,2006,212,0.27,1.55,2.14,0.21,15,55.4294,9.3235,erik,5.053065513,26,19153,22.74660021
Temperate,Denmark,DK_38006,2007,212,0.08,1.19,2.34,0.1,15,55.3781,9.2462,erik,5.029855808,22,19253,20.48398839
Temperate,Denmark,DK_42001,2005,212,2.04,2.1,1.26,0.05,15,54.9625,9.431,erik,6.245453131,15,1922,14.99986639
Temperate,Denmark,DK_42001,2006,212,2.04,2.1,1.3,0.05,15,54.9625,9.431,erik,6.585590342,14,2396,13.9992875
Temperate,Denmark,DK_42003,2005,212,0.61,2.7,1.96,0.15,15,54.9351,9.4429,erik,7.251408378,15,2982,14.99194257
Temperate,Denmark,DK_42003,2006,212,0.61,2.7,2.29,0.2,15,54.9351,9.4429,erik,5.533279516,10,2121,9.999852222
Temperate,Denmark,DK_42081,2004,212,0.05,5.93,0.34,0.01,15,54.8429,9.3952,erik,4.068881144,17,8656,16.70685179
Temperate,Denmark,DK_42085,2004,212,0.08,4.5,2.15,0.06,15,55.6729,11.311,erik,4.66220283,8,6065,7.991675828
Temperate,Denmark,DK_44009,2005,212,0.14,3.4,2.15,0.15,15,55.3371,10.6319,erik,3.815440861,5,1355,5
Temperate,Denmark,DK_45003,2005,212,3.12,2.02,1.82,0.1,15,55.1581,10.3083,erik,3.277679097,9,10952,8.789784192
Temperate,Denmark,DK_45003,2006,212,3.12,2.02,1.54,0.08,15,55.1581,10.3083,erik,6.018836728,9,16565,8.575200519
Temperate,Denmark,DK_45007,2004,212,0.18,3.09,1.9,0.18,15,55.4323,10.2019,erik,1.762980961,4,2239,4
Temperate,Denmark,DK_46005,2006,212,0.21,3.6,1.58,0.06,15,55.2076,10.2095,erik,2.063892931,3,1969,2.999993422
Temperate,Denmark,DK_46007,2004,212,0.44,6.2,1.92,0.05,15,55.2076,10.2095,erik,1.446244783,4,3611,3.991779177
Temperate,Denmark,DK_46007,2005,212,0.44,6.2,1.62,0.04,15,55.2076,10.2095,erik,1.471159246,4,2356,3.999999985
Temperate,Denmark,DK_46007,2006,212,0.44,6.2,1.12,0.03,15,55.2076,10.2095,erik,1.743646715,3,1414,3
Temperate,Denmark,DK_48001,2004,212,2.24,4.8,0.7,0.04,15,55.9885,12.3008,erik,1.144616698,4,7778,3.918779719
Temperate,Denmark,DK_48001,2005,212,2.24,4.8,0.76,0.05,15,55.9885,12.3008,erik,1.710300221,4,18374,3.95525488
Temperate,Denmark,DK_49001,2004,212,39.87,3.1,2.36,0.24,15,55.9717,12.1104,erik,2.784397884,7,4087,6.985602382
Temperate,Denmark,DK_49001,2005,212,39.87,3.1,2.59,0.23,15,55.9717,12.1104,erik,3.509667947,6,3929,5.994181147
Temperate,Denmark,DK_49001,2006,212,39.87,3.1,1.86,0.15,15,55.9717,12.1104,erik,2.385107815,3,2420,3
Temperate,Denmark,DK_49001,2007,212,39.87,3.1,2.46,0.14,15,55.9717,12.1104,erik,2.581707259,4,1231,3.999999997
Temperate,Denmark,DK_50025,2005,212,0.32,3.49,0.72,0.12,15,55.8173,12.2627,erik,3.804612991,11,9050,10.79945587
Temperate,Denmark,DK_50029,2005,212,1.19,6.67,0.63,0.08,15,55.8036,12.3626,erik,1.68833066,6,9823,5.945624159
Temperate,Denmark,DK_51004,2004,212,0.15,3.6,0.91,0.03,15,55.632821,11.6904,erik,5.102813683,14,5000,13.92470637
Temperate,Denmark,DK_51004,2005,212,0.15,3.6,0.8,0.02,15,55.632821,11.6904,erik,5.699921067,20,6230,19.73812725
Temperate,Denmark,DK_51004,2006,212,0.15,3.6,0.77,0.01,15,55.632821,11.6904,erik,6.651439761,17,4644,16.94586645
Temperate,Denmark,DK_51004,2007,212,0.15,3.6,0.89,0.02,15,55.632821,11.6904,erik,6.307899831,19,4326,18.94195666
Temperate,Denmark,DK_52002,2005,212,0.05,3.96,1.88,0.21,15,55.5836,12.6554,erik,1.491578728,4,4003,3.999424374
Temperate,Denmark,DK_52005,2004,212,0.32,1.2,2.64,0.33,15,55.7264,12.1848,erik,3.325205562,11,3847,10.97632732
Temperate,Denmark,DK_52005,2006,212,0.32,1.2,2.5,0.31,15,55.7264,12.1848,erik,4.959400987,15,6595,14.77003096
Temperate,Denmark,DK_52013,2006,212,1.25,3.3,1.13,0.04,15,55.7767,12.3499,erik,3.319605765,6,4643,5.998457355
Temperate,Denmark,DK_52075,2006,212,0.05,4.95,0.3,0.03,15,55.1888,11.7252,erik,2.097132855,6,5955,5.979388004
Temperate,Denmark,DK_53001,2006,212,0.06,4.65,2.04,0.01,15,55.5479,12.2082,erik,2.685714286,3,236,3
Temperate,Denmark,DK_53027,2005,212,0.07,4.2,0.89,0.09,15,55.6874,12.5667,erik,2.520216652,11,13188,10.65215662
Temperate,Denmark,DK_55002,2004,212,11.85,8.2,1.41,0.09,15,55.5777,11.2858,erik,3.523286303,9,21151,8.932317452
Temperate,Denmark,DK_55002,2005,212,11.85,8.2,2.35,0.13,15,55.5777,11.2858,erik,3.44791024,10,21232,8.775801349
Temperate,Denmark,DK_55002,2006,212,11.85,8.2,2.31,0.18,15,55.5777,11.2858,erik,3.943255006,8,3968,7.993856754
Temperate,Denmark,DK_55003,2005,212,1.91,7.74,1.27,0.1,15,55.45,11.5818,erik,2.547785107,8,2859,7.999964897
Temperate,Denmark,DK_57013,2007,212,0.9,4.67,2.57,0.1,15,55.3355,11.6342,erik,2.064844308,14,18252,12.63200485
Temperate,Denmark,DK_57018,2006,212,0.07,1.17,2.52,0.13,15,55.3616,11.4409,erik,1.472548779,3,1885,3
Temperate,Denmark,DK_57020,2004,212,6.61,9.9,3.58,0.1,15,55.34653,11.601779,erik,2.938609436,10,7325,9.909616736
Temperate,Denmark,DK_57053,2007,212,0.51,8.8,1.36,0.17,15,55.2983,11.9997,erik,1.742847248,3,1649,2.999999999
Temperate,Denmark,DK_58004,2004,212,0.37,3.8,1.62,0.14,15,55.4888,11.984,erik,2.628867208,10,7185,9.945527651
